"Nastale koli?ine komunalnih odpadkov in ravnanje z njimi (tone) po:"
"SEZNAM ODPADKOV, MERITVE , LETO"

"Seznam odpadkov - SKUPAJ"
" ";"Nastala kolicina in skladiscenje - SKUPAJ"
" ";" ";"2011";-
" ";" ";"2012";-
" ";" ";"2013";11616
" ";" ";"2014";11159
" ";" ";"2015";12142
" ";" ";"2016";11194
" ";" ";"2017";11672
" ";"Nastala kolicina v proizvodnih in storitvenih dej."
" ";" ";"2002";-
" ";" ";"2003";-
" ";" ";"2004";-
" ";" ";"2005";-
" ";" ";"2006";-
" ";" ";"2007";-
" ";" ";"2008";-
" ";" ";"2009";4087
" ";" ";"2010";-
" ";" ";"2011";-
" ";" ";"2012";-
" ";" ";"2013";4169
" ";" ";"2014";2600
" ";" ";"2015";68306
" ";" ";"2016";63800
" ";" ";"2017";77268
" ";"Kolicina oddana v obdelavo"
" ";" ";"2002";3167
" ";" ";"2003";6211
" ";" ";"2004";9193
" ";" ";"2005";8416
" ";" ";"2006";14992
" ";" ";"2007";15553
" ";" ";"2008";15907
" ";" ";"2009";19269
" ";" ";"2010";17979
" ";" ";"2011";18285
" ";" ";"2012";17930
" ";" ";"2013";58082
" ";" ";"2014";38293
" ";" ";"2015";49345
" ";" ";"2016";74247
" ";" ";"2017";86269
" ";"Kolicina poslana v tujino"
" ";" ";"2002";-
" ";" ";"2003";-
" ";" ";"2004";-
" ";" ";"2005";-
" ";" ";"2006";19
" ";" ";"2007";-
" ";" ";"2008";-
" ";" ";"2009";-
" ";" ";"2010";-
" ";" ";"2011";-
" ";" ";"2012";-
" ";" ";"2013";-
" ";" ";"2014";10072
" ";" ";"2015";30992
" ";" ";"2016";702
" ";" ";"2017";1920
"150102 Plasticna embalaza"
" ";"Nastala kolicina in skladiscenje - SKUPAJ"
" ";" ";"2002";1274
" ";" ";"2003";1287
" ";" ";"2004";2603
" ";" ";"2005";3115
" ";" ";"2006";5138
" ";" ";"2007";6749
" ";" ";"2008";7967
" ";" ";"2009";11805
" ";" ";"2010";14188
" ";" ";"2011";13514
" ";" ";"2012";5480
" ";" ";"2013";15958
" ";" ";"2014";16243
" ";" ";"2015";24242
" ";" ";"2016";18940
" ";" ";"2017";26743
" ";"Nastala kolicina v gospodinjstvih"
" ";" ";"2002";-
" ";" ";"2003";-
" ";" ";"2004";-
" ";" ";"2005";-
" ";" ";"2006";-
" ";" ";"2007";-
" ";" ";"2008";-
" ";" ";"2009";10399
" ";" ";"2010";-
" ";" ";"2011";-
" ";" ";"2012";-
" ";" ";"2013";3135
" ";" ";"2014";2021
" ";" ";"2015";953
" ";" ";"2016";1052
" ";" ";"2017";1125
" ";"Nastala kolicina v proizvodnih in storitvenih dej."
" ";" ";"2002";-
" ";" ";"2003";-
" ";" ";"2004";-
" ";" ";"2005";-
" ";" ";"2006";-
" ";" ";"2007";-
" ";" ";"2008";-
" ";" ";"2009";1401
" ";" ";"2010";-
" ";" ";"2011";-
" ";" ";"2012";-
" ";" ";"2013";1674
" ";" ";"2014";884
" ";" ";"2015";22960
" ";" ";"2016";17506
" ";" ";"2017";25366
" ";"Kolicina oddana v obdelavo"
" ";" ";"2002";1262
" ";" ";"2003";1287
" ";" ";"2004";2603
" ";" ";"2005";2996
" ";" ";"2006";4973
" ";" ";"2007";6469
" ";" ";"2008";7668
" ";" ";"2009";11310
" ";" ";"2010";13702
" ";" ";"2011";13247
" ";" ";"2012";5171
" ";" ";"2013";14878
" ";" ";"2014";14394
" ";" ";"2015";15874
" ";" ";"2016";18584
" ";" ";"2017";25515
" ";"Kolicina poslana v tujino"
" ";" ";"2002";12
" ";" ";"2003";-
" ";" ";"2004";-
" ";" ";"2005";22
" ";" ";"2006";-
" ";" ";"2007";-
" ";" ";"2008";-
" ";" ";"2009";-
" ";" ";"2010";81
" ";" ";"2011";-
" ";" ";"2012";-
" ";" ";"2013";233
" ";" ";"2014";1252
" ";" ";"2015";7924
" ";" ";"2016";63
" ";" ";"2017";772
"150103 Lesena embalaza"
" ";"Nastala kolicina in skladiscenje - SKUPAJ"
" ";" ";"2002";1065
" ";" ";"2003";942
" ";" ";"2004";867
" ";" ";"2005";1409
" ";" ";"2006";685
" ";" ";"2007";437
" ";" ";"2008";489
" ";" ";"2009";849
" ";" ";"2010";1676
" ";" ";"2011";2181
" ";" ";"2012";2370
" ";" ";"2013";11553
" ";" ";"2014";19366
" ";" ";"2015";20218
" ";" ";"2016";16551
" ";" ";"2017";20296
" ";"Nastala kolicina v gospodinjstvih"
" ";" ";"2002";-
" ";" ";"2003";-
" ";" ";"2004";-
" ";" ";"2005";-
" ";" ";"2006";-
" ";" ";"2007";-
" ";" ";"2008";-
" ";" ";"2009";680
" ";" ";"2010";-
" ";" ";"2011";-
" ";" ";"2012";-
" ";" ";"2013";1946
" ";" ";"2014";1766
" ";" ";"2015";1036
" ";" ";"2016";791
" ";" ";"2017";723
" ";"Nastala kolicina v proizvodnih in storitvenih dej."
" ";" ";"2002";-
" ";" ";"2003";-
" ";" ";"2004";-
" ";" ";"2005";-
" ";" ";"2006";-
" ";" ";"2007";-
" ";" ";"2008";-
" ";" ";"2009";169
" ";" ";"2010";-
" ";" ";"2011";-
" ";" ";"2012";-
" ";" ";"2013";592
" ";" ";"2014";431
" ";" ";"2015";19146
" ";" ";"2016";15618
" ";" ";"2017";19267
" ";"Kolicina oddana v obdelavo"
" ";" ";"2002";1065
" ";" ";"2003";942
" ";" ";"2004";850
" ";" ";"2005";1409
" ";" ";"2006";464
" ";" ";"2007";333
" ";" ";"2008";450
" ";" ";"2009";834
" ";" ";"2010";1451
" ";" ";"2011";1888
" ";" ";"2012";2319
" ";" ";"2013";11421
" ";" ";"2014";17935
" ";" ";"2015";19343
" ";" ";"2016";16366
" ";" ";"2017";18480
" ";"Kolicina poslana v tujino"
" ";" ";"2002";-
" ";" ";"2003";-
" ";" ";"2004";17
" ";" ";"2005";-
" ";" ";"2006";103
" ";" ";"2007";-
" ";" ";"2008";-
" ";" ";"2009";-
" ";" ";"2010";74
" ";" ";"2011";-
" ";" ";"2012";-
" ";" ";"2013";-
" ";" ";"2014";492
" ";" ";"2015";382
" ";" ";"2016";81
" ";" ";"2017";1172
"150104 Kovinska embalaza"
" ";"Nastala kolicina in skladiscenje - SKUPAJ"
" ";" ";"2002";381
" ";" ";"2003";248
" ";" ";"2004";1035
" ";" ";"2005";572
" ";" ";"2006";609
" ";" ";"2007";861
" ";" ";"2008";1378
" ";" ";"2009";2450
" ";" ";"2010";2251
" ";" ";"2011";1461
" ";" ";"2012";727
" ";" ";"2013";3980
" ";" ";"2014";6556
" ";" ";"2015";8029
" ";" ";"2016";4516
" ";" ";"2017";5248
" ";"Nastala kolicina v gospodinjstvih"
" ";" ";"2002";-
" ";" ";"2003";-
" ";" ";"2004";-
" ";" ";"2005";-
" ";" ";"2006";-
" ";" ";"2007";-
" ";" ";"2008";-
" ";" ";"2009";2373
" ";" ";"2010";-
" ";" ";"2011";-
" ";" ";"2012";-
" ";" ";"2013";416
" ";" ";"2014";243
" ";" ";"2015";216
" ";" ";"2016";229
" ";" ";"2017";126
" ";"Nastala kolicina v proizvodnih in storitvenih dej."
" ";" ";"2002";-
" ";" ";"2003";-
" ";" ";"2004";-
" ";" ";"2005";-
" ";" ";"2006";-
" ";" ";"2007";-
" ";" ";"2008";-
" ";" ";"2009";77
" ";" ";"2010";-
" ";" ";"2011";-
" ";" ";"2012";-
" ";" ";"2013";53
" ";" ";"2014";50
" ";" ";"2015";7780
" ";" ";"2016";4250
" ";" ";"2017";4976
" ";"Kolicina oddana v obdelavo"
" ";" ";"2002";381
" ";" ";"2003";248
" ";" ";"2004";1035
" ";" ";"2005";572
" ";" ";"2006";599
" ";" ";"2007";847
" ";" ";"2008";1334
" ";" ";"2009";2411
" ";" ";"2010";2027
" ";" ";"2011";1422
" ";" ";"2012";709
" ";" ";"2013";3797
" ";" ";"2014";5719
" ";" ";"2015";6670
" ";" ";"2016";4268
" ";" ";"2017";5048
" ";"Kolicina poslana v tujino"
" ";" ";"2002";-
" ";" ";"2003";-
" ";" ";"2004";-
" ";" ";"2005";-
" ";" ";"2006";-
" ";" ";"2007";-
" ";" ";"2008";-
" ";" ";"2009";-
" ";" ";"2010";184
" ";" ";"2011";-
" ";" ";"2012";-
" ";" ";"2013";144
" ";" ";"2014";602
" ";" ";"2015";1130
" ";" ";"2016";33
" ";" ";"2017";92
"150105 Sestavljena embalaza"
" ";"Nastala kolicina in skladiscenje - SKUPAJ"
" ";" ";"2002";81
" ";" ";"2003";31
" ";" ";"2004";21
" ";" ";"2005";9
" ";" ";"2006";25
" ";" ";"2007";82
" ";" ";"2008";254
" ";" ";"2009";322
" ";" ";"2010";407
" ";" ";"2011";1126
" ";" ";"2012";271
" ";" ";"2013";1135
" ";" ";"2014";1352
" ";" ";"2015";2023
" ";" ";"2016";1048
" ";" ";"2017";1876
" ";"Nastala kolicina v gospodinjstvih"
" ";" ";"2002";-
" ";" ";"2003";-
" ";" ";"2004";-
" ";" ";"2005";-
" ";" ";"2006";-
" ";" ";"2007";-
" ";" ";"2008";-
" ";" ";"2009";300
" ";" ";"2010";-
" ";" ";"2011";-
" ";" ";"2012";-
" ";" ";"2013";93
" ";" ";"2014";1
" ";" ";"2015";0
" ";" ";"2016";0
" ";" ";"2017";1
" ";"Nastala kolicina v proizvodnih in storitvenih dej."
" ";" ";"2002";-
" ";" ";"2003";-
" ";" ";"2004";-
" ";" ";"2005";-
" ";" ";"2006";-
" ";" ";"2007";-
" ";" ";"2008";-
" ";" ";"2009";22
" ";" ";"2010";-
" ";" ";"2011";-
" ";" ";"2012";-
" ";" ";"2013";64
" ";" ";"2014";-
" ";" ";"2015";2023
" ";" ";"2016";1046
" ";" ";"2017";1869
" ";"Kolicina oddana v obdelavo"
" ";" ";"2002";81
" ";" ";"2003";31
" ";" ";"2004";21
" ";" ";"2005";9
" ";" ";"2006";24
" ";" ";"2007";82
" ";" ";"2008";246
" ";" ";"2009";320
" ";" ";"2010";388
" ";" ";"2011";1101
" ";" ";"2012";228
" ";" ";"2013";1084
" ";" ";"2014";1170
" ";" ";"2015";1659
" ";" ";"2016";979
" ";" ";"2017";1843
" ";"Kolicina poslana v tujino"
" ";" ";"2002";-
" ";" ";"2003";-
" ";" ";"2004";-
" ";" ";"2005";-
" ";" ";"2006";-
" ";" ";"2007";-
" ";" ";"2008";-
" ";" ";"2009";-
" ";" ";"2010";-
" ";" ";"2011";-
" ";" ";"2012";-
" ";" ";"2013";22
" ";" ";"2014";152
" ";" ";"2015";266
" ";" ";"2016";66
" ";" ";"2017";10
"150106 Mesana embalaza"
" ";"Nastala kolicina in skladiscenje - SKUPAJ"
" ";" ";"2002";4472
" ";" ";"2003";6802
" ";" ";"2004";5182
" ";" ";"2005";3273
" ";" ";"2006";1719
" ";" ";"2007";1276
" ";" ";"2008";2011
" ";" ";"2009";4089
" ";" ";"2010";14154
" ";" ";"2011";28076
" ";" ";"2012";50152
" ";" ";"2013";78933
" ";" ";"2014";92840
" ";" ";"2015";97747
" ";" ";"2016";90180
" ";" ";"2017";94876
" ";"Nastala kolicina v gospodinjstvih"
" ";" ";"2002";-
" ";" ";"2003";-
" ";" ";"2004";-
" ";" ";"2005";-
" ";" ";"2006";-
" ";" ";"2007";-
" ";" ";"2008";-
" ";" ";"2009";3152
" ";" ";"2010";-
" ";" ";"2011";-
" ";" ";"2012";-
" ";" ";"2013";58937
" ";" ";"2014";64148
" ";" ";"2015";68155
" ";" ";"2016";70578
" ";" ";"2017";73581
" ";"Nastala kolicina v proizvodnih in storitvenih dej."
" ";" ";"2002";-
" ";" ";"2003";-
" ";" ";"2004";-
" ";" ";"2005";-
" ";" ";"2006";-
" ";" ";"2007";-
" ";" ";"2008";-
" ";" ";"2009";965
" ";" ";"2010";-
" ";" ";"2011";-
" ";" ";"2012";-
" ";" ";"2013";4801
" ";" ";"2014";5589
" ";" ";"2015";26607
