"Kolièine nastalih, zbranih in odloženih komunalnih odpadkov po:"
"KOHEZIJSKA/STATISTIÈNA REGIJA, LETO , KAZALNIK"

"SLOVENIJA"
" ";"2010"
" ";" ";"Nastali komunalni odpadki (tone)";-
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";96352
" ";" ";"Odloženi komunalni odpadki (tone)";51956
" ";"2011"
" ";" ";"Nastali komunalni odpadki (tone)";-
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";87379
" ";" ";"Odloženi komunalni odpadki (tone)";35684
" ";"2012"
" ";" ";"Nastali komunalni odpadki (tone)";86346
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";77216
" ";" ";"Odloženi komunalni odpadki (tone)";19430
" ";"2013"
" ";" ";"Nastali komunalni odpadki (tone)";99491
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";75008
" ";" ";"Odloženi komunalni odpadki (tone)";15394
" ";"2014"
" ";" ";"Nastali komunalni odpadki (tone)";104162
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";75581
" ";" ";"Odloženi komunalni odpadki (tone)";12711
" ";"2015"
" ";" ";"Nastali komunalni odpadki (tone)";110640
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";75446
" ";" ";"Odloženi komunalni odpadki (tone)";13347
" ";"2016"
" ";" ";"Nastali komunalni odpadki (tone)";109739
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";76919
" ";" ";"Odloženi komunalni odpadki (tone)";10245
" ";"2017"
" ";" ";"Nastali komunalni odpadki (tone)";116622
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";81106
" ";" ";"Odloženi komunalni odpadki (tone)";8848
"Zasavska"
" ";"2010"
" ";" ";"Nastali komunalni odpadki (tone)";-
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";16634
" ";" ";"Odloženi komunalni odpadki (tone)";14132
" ";"2011"
" ";" ";"Nastali komunalni odpadki (tone)";-
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";14886
" ";" ";"Odloženi komunalni odpadki (tone)";10914
" ";"2012"
" ";" ";"Nastali komunalni odpadki (tone)";15643
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";14124
" ";" ";"Odloženi komunalni odpadki (tone)";8714
" ";"2013"
" ";" ";"Nastali komunalni odpadki (tone)";17605
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";13531
" ";" ";"Odloženi komunalni odpadki (tone)";8069
" ";"2014"
" ";" ";"Nastali komunalni odpadki (tone)";19176
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";14420
" ";" ";"Odloženi komunalni odpadki (tone)";8011
" ";"2015"
" ";" ";"Nastali komunalni odpadki (tone)";19309
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";13552
" ";" ";"Odloženi komunalni odpadki (tone)";7673
" ";"2016"
" ";" ";"Nastali komunalni odpadki (tone)";25160
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";17758
" ";" ";"Odloženi komunalni odpadki (tone)";3020
" ";"2017"
" ";" ";"Nastali komunalni odpadki (tone)";25339
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";17368
" ";" ";"Odloženi komunalni odpadki (tone)";2558
"Posavska"
" ";"2010"
" ";" ";"Nastali komunalni odpadki (tone)";-
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";28215
" ";" ";"Odloženi komunalni odpadki (tone)";22182
" ";"2011"
" ";" ";"Nastali komunalni odpadki (tone)";-
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";26750
" ";" ";"Odloženi komunalni odpadki (tone)";13198
" ";"2012"
" ";" ";"Nastali komunalni odpadki (tone)";24220
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";21758
" ";" ";"Odloženi komunalni odpadki (tone)";10282
" ";"2013"
" ";" ";"Nastali komunalni odpadki (tone)";29232
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";22630
" ";" ";"Odloženi komunalni odpadki (tone)";8119
" ";"2014"
" ";" ";"Nastali komunalni odpadki (tone)";30485
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";22778
" ";" ";"Odloženi komunalni odpadki (tone)";7432
" ";"2015"
" ";" ";"Nastali komunalni odpadki (tone)";35050
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";25566
" ";" ";"Odloženi komunalni odpadki (tone)";6338
" ";"2016"
" ";" ";"Nastali komunalni odpadki (tone)";34115
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";24237
" ";" ";"Odloženi komunalni odpadki (tone)";1762
" ";"2017"
" ";" ";"Nastali komunalni odpadki (tone)";34989
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";24489
" ";" ";"Odloženi komunalni odpadki (tone)";1064
"Jugovzhodna Slovenija"
" ";"2010"
" ";" ";"Nastali komunalni odpadki (tone)";-
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";48586
" ";" ";"Odloženi komunalni odpadki (tone)";42264
" ";"2011"
" ";" ";"Nastali komunalni odpadki (tone)";-
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";43201
" ";" ";"Odloženi komunalni odpadki (tone)";27754
" ";"2012"
" ";" ";"Nastali komunalni odpadki (tone)";43601
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";38603
" ";" ";"Odloženi komunalni odpadki (tone)";22056
" ";"2013"
" ";" ";"Nastali komunalni odpadki (tone)";51274
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";37870
" ";" ";"Odloženi komunalni odpadki (tone)";23401
" ";"2014"
" ";" ";"Nastali komunalni odpadki (tone)";54193
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";38545
" ";" ";"Odloženi komunalni odpadki (tone)";20911
" ";"2015"
" ";" ";"Nastali komunalni odpadki (tone)";57597
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";38321
" ";" ";"Odloženi komunalni odpadki (tone)";19937
" ";"2016"
" ";" ";"Nastali komunalni odpadki (tone)";57155
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";38779
" ";" ";"Odloženi komunalni odpadki (tone)";175
" ";"2017"
" ";" ";"Nastali komunalni odpadki (tone)";58471
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";38599
" ";" ";"Odloženi komunalni odpadki (tone)";9234
"Primorsko-notranjska"
" ";"2010"
" ";" ";"Nastali komunalni odpadki (tone)";-
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";18360
" ";" ";"Odloženi komunalni odpadki (tone)";13805
" ";"2011"
" ";" ";"Nastali komunalni odpadki (tone)";-
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";16427
" ";" ";"Odloženi komunalni odpadki (tone)";10696
" ";"2012"
" ";" ";"Nastali komunalni odpadki (tone)";17368
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";15526
" ";" ";"Odloženi komunalni odpadki (tone)";9180
" ";"2013"
" ";" ";"Nastali komunalni odpadki (tone)";20539
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";15601
" ";" ";"Odloženi komunalni odpadki (tone)";6306
" ";"2014"
" ";" ";"Nastali komunalni odpadki (tone)";22939
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";17175
" ";" ";"Odloženi komunalni odpadki (tone)";6857
" ";"2015"
" ";" ";"Nastali komunalni odpadki (tone)";23568
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";16453
" ";" ";"Odloženi komunalni odpadki (tone)";9560
" ";"2016"
" ";" ";"Nastali komunalni odpadki (tone)";23558
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";16784
" ";" ";"Odloženi komunalni odpadki (tone)";245
" ";"2017"
" ";" ";"Nastali komunalni odpadki (tone)";23768
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";16452
" ";" ";"Odloženi komunalni odpadki (tone)";2803
"Zahodna Slovenija"
" ";"2010"
" ";" ";"Nastali komunalni odpadki (tone)";-
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";401155
" ";" ";"Odloženi komunalni odpadki (tone)";277424
" ";"2011"
" ";" ";"Nastali komunalni odpadki (tone)";-
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";370271
" ";" ";"Odloženi komunalni odpadki (tone)";230376
" ";"2012"
" ";" ";"Nastali komunalni odpadki (tone)";385517
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";351252
" ";" ";"Odloženi komunalni odpadki (tone)";177561
" ";"2013"
" ";" ";"Nastali komunalni odpadki (tone)";436839
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";344957
" ";" ";"Odloženi komunalni odpadki (tone)";125333
" ";"2014"
" ";" ";"Nastali komunalni odpadki (tone)";449800
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";342536
" ";" ";"Odloženi komunalni odpadki (tone)";124522
" ";"2015"
" ";" ";"Nastali komunalni odpadki (tone)";465342
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";331901
" ";" ";"Odloženi komunalni odpadki (tone)";125105
" ";"2016"
" ";" ";"Nastali komunalni odpadki (tone)";483807
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";358533
" ";" ";"Odloženi komunalni odpadki (tone)";24417
" ";"2017"
" ";" ";"Nastali komunalni odpadki (tone)";499314
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";363505
" ";" ";"Odloženi komunalni odpadki (tone)";27576
"Osrednjeslovenska"
" ";"2010"
" ";" ";"Nastali komunalni odpadki (tone)";-
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";222724
" ";" ";"Odloženi komunalni odpadki (tone)";152993
" ";"2011"
" ";" ";"Nastali komunalni odpadki (tone)";-
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";212855
" ";" ";"Odloženi komunalni odpadki (tone)";125790
" ";"2012"
" ";" ";"Nastali komunalni odpadki (tone)";220493
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";201480
" ";" ";"Odloženi komunalni odpadki (tone)";98876
" ";"2013"
" ";" ";"Nastali komunalni odpadki (tone)";249765
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";198779
" ";" ";"Odloženi komunalni odpadki (tone)";72775
" ";"2014"
" ";" ";"Nastali komunalni odpadki (tone)";250850
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";191329
" ";" ";"Odloženi komunalni odpadki (tone)";71291
" ";"2015"
" ";" ";"Nastali komunalni odpadki (tone)";264472
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";189942
" ";" ";"Odloženi komunalni odpadki (tone)";66428
" ";"2016"
" ";" ";"Nastali komunalni odpadki (tone)";263692
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";194415
" ";" ";"Odloženi komunalni odpadki (tone)";10585
" ";"2017"
" ";" ";"Nastali komunalni odpadki (tone)";272149
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";196922
" ";" ";"Odloženi komunalni odpadki (tone)";8175
"Gorenjska"
" ";"2010"
" ";" ";"Nastali komunalni odpadki (tone)";-
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";72627
" ";" ";"Odloženi komunalni odpadki (tone)";44607
" ";"2011"
" ";" ";"Nastali komunalni odpadki (tone)";-
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";63817
" ";" ";"Odloženi komunalni odpadki (tone)";41882
" ";"2012"
" ";" ";"Nastali komunalni odpadki (tone)";68779
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";61631
" ";" ";"Odloženi komunalni odpadki (tone)";25211
" ";"2013"
" ";" ";"Nastali komunalni odpadki (tone)";80088
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";60921
" ";" ";"Odloženi komunalni odpadki (tone)";22077
" ";"2014"
" ";" ";"Nastali komunalni odpadki (tone)";86910
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";64533
" ";" ";"Odloženi komunalni odpadki (tone)";21181
" ";"2015"
" ";" ";"Nastali komunalni odpadki (tone)";88264
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";60651
" ";" ";"Odloženi komunalni odpadki (tone)";22530
" ";"2016"
" ";" ";"Nastali komunalni odpadki (tone)";99823
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";73593
" ";" ";"Odloženi komunalni odpadki (tone)";5624
" ";"2017"
" ";" ";"Nastali komunalni odpadki (tone)";101099
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";72740
" ";" ";"Odloženi komunalni odpadki (tone)";11830
"Goriška"
" ";"2010"
" ";" ";"Nastali komunalni odpadki (tone)";-
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";54563
" ";" ";"Odloženi komunalni odpadki (tone)";39259
" ";"2011"
" ";" ";"Nastali komunalni odpadki (tone)";-
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";49024
" ";" ";"Odloženi komunalni odpadki (tone)";36184
" ";"2012"
" ";" ";"Nastali komunalni odpadki (tone)";49200
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";45028
" ";" ";"Odloženi komunalni odpadki (tone)";29111
" ";"2013"
" ";" ";"Nastali komunalni odpadki (tone)";53412
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";42225
" ";" ";"Odloženi komunalni odpadki (tone)";12199
" ";"2014"
" ";" ";"Nastali komunalni odpadki (tone)";55300
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";42241
" ";" ";"Odloženi komunalni odpadki (tone)";14745
" ";"2015"
" ";" ";"Nastali komunalni odpadki (tone)";56759
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";40755
" ";" ";"Odloženi komunalni odpadki (tone)";21327
" ";"2016"
" ";" ";"Nastali komunalni odpadki (tone)";58953
" ";" ";"Komunalni odpadki, zbrani z javnim odvozom (tone)";43765
" ";" ";"Odloženi komunalni odpadki (tone)";6061
" ";"2017"
